combo,train_langs,system,metric,language,value
en,English,E_joint,joint_f1,English,0.8063
en,English,E_joint,joint_f1,Spanish,0.7243
en,English,E_joint,joint_f1,Hindi,0.6591
en,English,E_joint,joint_f1,Telugu,0.6649
en,English,E_joint,joint_f1,Overall,0.7461
en,English,E_joint,joint_f1_macro_avg,Overall,0.7137
en,English,E_joint,classification_macro_f1,English,0.8182
en,English,E_joint,classification_macro_f1,Hindi,0.7199
en,English,E_joint,classification_macro_f1,Spanish,0.7552
en,English,E_joint,classification_macro_f1,Telugu,0.6795
en,English,E_joint,classification_macro_f1,Overall,0.7709
en,English,E_joint,e2e_span_overlap_f1,English,0.7302
en,English,E_joint,e2e_span_overlap_f1,Hindi,0.4402
en,English,E_joint,e2e_span_overlap_f1,Spanish,0.6946
en,English,E_joint,e2e_span_overlap_f1,Telugu,0.6346
en,English,E_joint,e2e_span_overlap_f1,Overall,0.6781
en,English,E_joint,joint_accuracy,Overall,0.6054
en,English,F_sequential,joint_f1,English,0.8004
en,English,F_sequential,joint_f1,Spanish,0.6744
en,English,F_sequential,joint_f1,Hindi,0.6503
en,English,F_sequential,joint_f1,Telugu,0.7409
en,English,F_sequential,joint_f1,Overall,0.7312
en,English,F_sequential,joint_f1_macro_avg,Overall,0.7165
en,English,F_sequential,classification_macro_f1,English,0.8128
en,English,F_sequential,classification_macro_f1,Hindi,0.687
en,English,F_sequential,classification_macro_f1,Spanish,0.6924
en,English,F_sequential,classification_macro_f1,Telugu,0.7565
en,English,F_sequential,classification_macro_f1,Overall,0.7483
en,English,F_sequential,e2e_span_overlap_f1,English,0.6402
en,English,F_sequential,e2e_span_overlap_f1,Hindi,0.2827
en,English,F_sequential,e2e_span_overlap_f1,Spanish,0.4589
en,English,F_sequential,e2e_span_overlap_f1,Telugu,0.5637
en,English,F_sequential,e2e_span_overlap_f1,Overall,0.5248
en,English,F_sequential,joint_accuracy,Overall,0.6038
en,English,G_bio,joint_f1,English,0.4696
en,English,G_bio,joint_f1,Spanish,0.4478
en,English,G_bio,joint_f1,Hindi,0.4464
en,English,G_bio,joint_f1,Telugu,0.4464
en,English,G_bio,joint_f1,Overall,0.4565
en,English,G_bio,e2e_span_overlap_f1,English,0.808
en,English,G_bio,e2e_span_overlap_f1,Hindi,0.573
en,English,G_bio,e2e_span_overlap_f1,Spanish,0.6966
en,English,G_bio,e2e_span_overlap_f1,Telugu,0.2673
en,English,G_bio,e2e_span_overlap_f1,Overall,0.6871
en,English,G_bio,joint_accuracy,Overall,0.2853
es,Spanish,A_pipeline,joint_f1,English,0.7707
es,Spanish,A_pipeline,joint_f1,Spanish,0.7283
es,Spanish,A_pipeline,joint_f1,Hindi,0.6774
es,Spanish,A_pipeline,joint_f1,Telugu,0.6601
es,Spanish,A_pipeline,joint_f1,Overall,0.7353
es,Spanish,A_pipeline,joint_f1_macro_avg,Overall,0.7091
es,Spanish,A_pipeline,classification_macro_f1,English,0.7826
es,Spanish,A_pipeline,classification_macro_f1,Hindi,0.7565
es,Spanish,A_pipeline,classification_macro_f1,Spanish,0.7323
es,Spanish,A_pipeline,classification_macro_f1,Telugu,0.6745
es,Spanish,A_pipeline,classification_macro_f1,Overall,0.751
es,Spanish,A_pipeline,e2e_span_overlap_f1,English,0.6558
es,Spanish,A_pipeline,e2e_span_overlap_f1,Hindi,0.4484
es,Spanish,A_pipeline,e2e_span_overlap_f1,Spanish,0.6594
es,Spanish,A_pipeline,e2e_span_overlap_f1,Telugu,0.6155
es,Spanish,A_pipeline,e2e_span_overlap_f1,Overall,0.6329
es,Spanish,A_pipeline,joint_accuracy,Overall,0.5848
es,Spanish,E_joint,joint_f1,English,0.7549
es,Spanish,E_joint,joint_f1,Spanish,0.7282
es,Spanish,E_joint,joint_f1,Hindi,0.6437
es,Spanish,E_joint,joint_f1,Telugu,0.6761
es,Spanish,E_joint,joint_f1,Overall,0.7258
es,Spanish,E_joint,joint_f1_macro_avg,Overall,0.7007
es,Spanish,E_joint,classification_macro_f1,English,0.7746
es,Spanish,E_joint,classification_macro_f1,Hindi,0.6605
es,Spanish,E_joint,classification_macro_f1,Spanish,0.7438
es,Spanish,E_joint,classification_macro_f1,Telugu,0.7223
es,Spanish,E_joint,classification_macro_f1,Overall,0.7462
es,Spanish,E_joint,e2e_span_overlap_f1,English,0.6688
es,Spanish,E_joint,e2e_span_overlap_f1,Hindi,0.3741
es,Spanish,E_joint,e2e_span_overlap_f1,Spanish,0.6955
es,Spanish,E_joint,e2e_span_overlap_f1,Telugu,0.5686
es,Spanish,E_joint,e2e_span_overlap_f1,Overall,0.6408
