combo,train_langs,system,mean_joint_f1,std_joint_f1,worst_language,worst_language_joint_f1,best_language,best_language_joint_f1,best_minus_worst_gap,stability_score_mean_minus_std
en,English,E_joint,0.7137,0.0593,Hindi,0.6591,English,0.8063,0.1472,0.6544
en,English,F_sequential,0.7165,0.0587,Hindi,0.6503,English,0.8004,0.1501,0.6578
en,English,G_bio,0.4526,0.0099,Hindi,0.4464,English,0.4696,0.0232,0.4427
en_es,English+Spanish,A_pipeline,0.7143,0.0672,Telugu,0.6198,English,0.8024,0.1826,0.6471
en_es,English+Spanish,E_joint,0.7243,0.042,Hindi,0.6774,English,0.7781,0.1007,0.6822
en_es,English+Spanish,F_sequential,0.704,0.0662,Hindi,0.6113,English,0.7825,0.1712,0.6378
en_es,English+Spanish,G_bio,0.4627,0.0106,Telugu,0.4464,English,0.474,0.0276,0.4522
en_es_hi,English+Spanish+Hindi,A_pipeline,0.7472,0.0387,Telugu,0.6896,English,0.7905,0.1009,0.7085
en_es_hi,English+Spanish+Hindi,E_joint,0.7425,0.033,Hindi,0.6915,English,0.7819,0.0904,0.7095
en_es_hi,English+Spanish+Hindi,F_sequential,0.7308,0.046,Telugu,0.6836,English,0.7984,0.1148,0.6848
en_es_hi,English+Spanish+Hindi,G_bio,0.4763,0.0096,Telugu,0.4655,Hindi,0.4918,0.0263,0.4667
en_es_hi_te,English+Spanish+Hindi+Telugu,A_pipeline,0.7486,0.0437,Hindi,0.687,English,0.8023,0.1153,0.7049
en_es_hi_te,English+Spanish+Hindi+Telugu,E_joint,0.7381,0.0607,Hindi,0.6357,Telugu,0.7903,0.1546,0.6774
en_es_hi_te,English+Spanish+Hindi+Telugu,F_sequential,0.744,0.0598,Hindi,0.6418,Telugu,0.7889,0.1471,0.6843
en_es_hi_te,English+Spanish+Hindi+Telugu,G_bio,0.475,0.0092,English,0.4628,Hindi,0.4876,0.0248,0.4658
en_es_te,English+Spanish+Telugu,A_pipeline,0.7474,0.0708,Hindi,0.6314,Telugu,0.8225,0.1911,0.6766
en_es_te,English+Spanish+Telugu,E_joint,0.7581,0.0306,Hindi,0.7094,Telugu,0.7889,0.0795,0.7276
en_es_te,English+Spanish+Telugu,F_sequential,0.7661,0.0325,Hindi,0.7257,Telugu,0.8046,0.0789,0.7336
en_es_te,English+Spanish+Telugu,G_bio,0.4689,0.0181,Hindi,0.4414,Telugu,0.4918,0.0504,0.4509
en_hi,English+Hindi,A_pipeline,0.6844,0.0688,Hindi,0.5989,English,0.7768,0.1779,0.6156
en_hi,English+Hindi,E_joint,0.734,0.0427,Telugu,0.6896,English,0.8023,0.1127,0.6913
en_hi,English+Hindi,F_sequential,0.724,0.0429,Telugu,0.6896,English,0.7972,0.1076,0.681
en_hi,English+Hindi,G_bio,0.4659,0.0144,Spanish,0.4502,Hindi,0.4876,0.0374,0.4515
en_hi_te,English+Hindi+Telugu,A_pipeline,0.7406,0.0494,Hindi,0.6569,English,0.7856,0.1287,0.6911
en_hi_te,English+Hindi+Telugu,E_joint,0.7483,0.0521,Spanish,0.6683,English,0.8099,0.1416,0.6962
en_hi_te,English+Hindi+Telugu,F_sequential,0.7467,0.0579,Hindi,0.6744,English,0.8259,0.1515,0.6888
en_hi_te,English+Hindi+Telugu,G_bio,0.4753,0.013,Spanish,0.4573,Hindi,0.4876,0.0303,0.4623
en_te,English+Telugu,A_pipeline,0.7262,0.0486,Hindi,0.6569,English,0.7942,0.1373,0.6776
en_te,English+Telugu,E_joint,0.749,0.0562,Hindi,0.6771,English,0.8338,0.1567,0.6928
en_te,English+Telugu,F_sequential,0.7444,0.0361,Hindi,0.7069,English,0.7974,0.0905,0.7084
en_te,English+Telugu,G_bio,0.467,0.009,Spanish,0.4538,Telugu,0.479,0.0252,0.4579
es,Spanish,A_pipeline,0.7091,0.0435,Telugu,0.6601,English,0.7707,0.1106,0.6656
es,Spanish,E_joint,0.7007,0.0434,Hindi,0.6437,English,0.7549,0.1112,0.6573
es,Spanish,F_sequential,0.6981,0.0629,Hindi,0.5958,English,0.7628,0.167,0.6352
es,Spanish,G_bio,0.4482,0.0049,Hindi,0.4414,Spanish,0.4549,0.0135,0.4432
es_hi,Spanish+Hindi,A_pipeline,0.7316,0.0422,Hindi,0.672,English,0.7904,0.1184,0.6893
es_hi,Spanish+Hindi,E_joint,0.726,0.0332,Hindi,0.6761,English,0.7667,0.0906,0.6928
es_hi,Spanish+Hindi,F_sequential,0.7342,0.0237,Hindi,0.7048,English,0.7699,0.0651,0.7105
es_hi,Spanish+Hindi,G_bio,0.4641,0.009,Telugu,0.4561,Hindi,0.479,0.0229,0.4551
es_hi_te,Spanish+Hindi+Telugu,A_pipeline,0.7446,0.0334,Hindi,0.687,Spanish,0.7671,0.0801,0.7111
es_hi_te,Spanish+Hindi+Telugu,E_joint,0.7376,0.0403,Hindi,0.6771,Telugu,0.7835,0.1064,0.6973
es_hi_te,Spanish+Hindi+Telugu,F_sequential,0.7464,0.0474,Hindi,0.6744,Telugu,0.8046,0.1302,0.6989
es_hi_te,Spanish+Hindi+Telugu,G_bio,0.4731,0.0114,English,0.4571,Telugu,0.4876,0.0305,0.4617
es_te,Spanish+Telugu,A_pipeline,0.7403,0.0479,Hindi,0.6612,Telugu,0.7903,0.1291,0.6924
es_te,Spanish+Telugu,E_joint,0.7382,0.0473,Hindi,0.6612,Telugu,0.7889,0.1277,0.6909
es_te,Spanish+Telugu,F_sequential,0.7292,0.059,Hindi,0.6289,Telugu,0.7732,0.1443,0.6702
es_te,Spanish+Telugu,G_bio,0.4602,0.0174,Hindi,0.4414,Telugu,0.4876,0.0462,0.4428
