combo,train_langs,system,target_language,joint_f1,target_seen_in_training
en,English,E_joint,English,0.8063,True
en,English,E_joint,Spanish,0.7243,False
en,English,E_joint,Hindi,0.6591,False
en,English,E_joint,Telugu,0.6649,False
en,English,F_sequential,English,0.8004,True
en,English,F_sequential,Spanish,0.6744,False
en,English,F_sequential,Hindi,0.6503,False
en,English,F_sequential,Telugu,0.7409,False
en,English,G_bio,English,0.4696,True
en,English,G_bio,Spanish,0.4478,False
en,English,G_bio,Hindi,0.4464,False
en,English,G_bio,Telugu,0.4464,False
es,Spanish,A_pipeline,English,0.7707,False
es,Spanish,A_pipeline,Spanish,0.7283,True
es,Spanish,A_pipeline,Hindi,0.6774,False
es,Spanish,A_pipeline,Telugu,0.6601,False
es,Spanish,E_joint,English,0.7549,False
es,Spanish,E_joint,Spanish,0.7282,True
es,Spanish,E_joint,Hindi,0.6437,False
es,Spanish,E_joint,Telugu,0.6761,False
es,Spanish,F_sequential,English,0.7628,False
es,Spanish,F_sequential,Spanish,0.732,True
es,Spanish,F_sequential,Hindi,0.5958,False
es,Spanish,F_sequential,Telugu,0.7019,False
es,Spanish,G_bio,English,0.45,False
es,Spanish,G_bio,Spanish,0.4549,True
es,Spanish,G_bio,Hindi,0.4414,False
es,Spanish,G_bio,Telugu,0.4464,False
hi,Hindi,A_pipeline,English,0.6917,False
hi,Hindi,A_pipeline,Spanish,0.6298,False
hi,Hindi,A_pipeline,Hindi,0.7409,True
hi,Hindi,A_pipeline,Telugu,0.758,False
hi,Hindi,E_joint,English,0.5009,False
hi,Hindi,E_joint,Spanish,0.4402,False
hi,Hindi,E_joint,Hindi,0.5916,True
hi,Hindi,E_joint,Telugu,0.724,False
hi,Hindi,F_sequential,English,0.6445,False
hi,Hindi,F_sequential,Spanish,0.6092,False
hi,Hindi,F_sequential,Hindi,0.6935,True
hi,Hindi,F_sequential,Telugu,0.7199,False
hi,Hindi,G_bio,English,0.3446,False
hi,Hindi,G_bio,Spanish,0.365,False
hi,Hindi,G_bio,Hindi,0.4464,True
hi,Hindi,G_bio,Telugu,0.4414,False
te,Telugu,A_pipeline,English,0.6669,False
te,Telugu,A_pipeline,Spanish,0.5943,False
te,Telugu,A_pipeline,Hindi,0.6063,False
te,Telugu,A_pipeline,Telugu,0.758,True
te,Telugu,E_joint,English,0.5453,False
te,Telugu,E_joint,Spanish,0.4869,False
te,Telugu,E_joint,Hindi,0.5407,False
te,Telugu,E_joint,Telugu,0.7252,True
te,Telugu,F_sequential,English,0.4828,False
te,Telugu,F_sequential,Spanish,0.4806,False
te,Telugu,F_sequential,Hindi,0.5171,False
te,Telugu,F_sequential,Telugu,0.7732,True
te,Telugu,G_bio,English,0.1994,False
te,Telugu,G_bio,Spanish,0.2395,False
te,Telugu,G_bio,Hindi,0.3981,False
te,Telugu,G_bio,Telugu,0.479,True
en_es,English+Spanish,A_pipeline,English,0.8024,True
en_es,English+Spanish,A_pipeline,Spanish,0.7434,True
en_es,English+Spanish,A_pipeline,Hindi,0.6915,False
en_es,English+Spanish,A_pipeline,Telugu,0.6198,False
en_es,English+Spanish,E_joint,English,0.7781,True
en_es,English+Spanish,E_joint,Spanish,0.752,True
en_es,English+Spanish,E_joint,Hindi,0.6774,False
en_es,English+Spanish,E_joint,Telugu,0.6896,False
en_es,English+Spanish,F_sequential,English,0.7825,True
en_es,English+Spanish,F_sequential,Spanish,0.7478,True
en_es,English+Spanish,F_sequential,Hindi,0.6113,False
en_es,English+Spanish,F_sequential,Telugu,0.6745,False
en_es,English+Spanish,G_bio,English,0.474,True
en_es,English+Spanish,G_bio,Spanish,0.4697,True
en_es,English+Spanish,G_bio,Hindi,0.4609,False
en_es,English+Spanish,G_bio,Telugu,0.4464,False
en_hi,English+Hindi,A_pipeline,English,0.7768,True
en_hi,English+Hindi,A_pipeline,Spanish,0.72,False
en_hi,English+Hindi,A_pipeline,Hindi,0.5989,True
en_hi,English+Hindi,A_pipeline,Telugu,0.6418,False
en_hi,English+Hindi,E_joint,English,0.8023,True
en_hi,English+Hindi,E_joint,Spanish,0.7357,False
en_hi,English+Hindi,E_joint,Hindi,0.7085,True
en_hi,English+Hindi,E_joint,Telugu,0.6896,False
en_hi,English+Hindi,F_sequential,English,0.7972,True
en_hi,English+Hindi,F_sequential,Spanish,0.7107,False
en_hi,English+Hindi,F_sequential,Hindi,0.6984,True
en_hi,English+Hindi,F_sequential,Telugu,0.6896,False
en_hi,English+Hindi,G_bio,English,0.4696,True
en_hi,English+Hindi,G_bio,Spanish,0.4502,False
en_hi,English+Hindi,G_bio,Hindi,0.4876,True
en_hi,English+Hindi,G_bio,Telugu,0.4561,False
en_te,English+Telugu,A_pipeline,English,0.7942,True
en_te,English+Telugu,A_pipeline,Spanish,0.728,False
en_te,English+Telugu,A_pipeline,Hindi,0.6569,False
en_te,English+Telugu,A_pipeline,Telugu,0.7257,True
en_te,English+Telugu,E_joint,English,0.8338,True
en_te,English+Telugu,E_joint,Spanish,0.7323,False
en_te,English+Telugu,E_joint,Hindi,0.6771,False
en_te,English+Telugu,E_joint,Telugu,0.7529,True
en_te,English+Telugu,F_sequential,English,0.7974,True
en_te,English+Telugu,F_sequential,Spanish,0.7159,False
en_te,English+Telugu,F_sequential,Hindi,0.7069,False
en_te,English+Telugu,F_sequential,Telugu,0.7575,True
en_te,English+Telugu,G_bio,English,0.4696,True
en_te,English+Telugu,G_bio,Spanish,0.4538,False
en_te,English+Telugu,G_bio,Hindi,0.4655,False
en_te,English+Telugu,G_bio,Telugu,0.479,True
es_hi,Spanish+Hindi,A_pipeline,English,0.7904,False
es_hi,Spanish+Hindi,A_pipeline,Spanish,0.7399,True
es_hi,Spanish+Hindi,A_pipeline,Hindi,0.672,True
es_hi,Spanish+Hindi,A_pipeline,Telugu,0.724,False
es_hi,Spanish+Hindi,E_joint,English,0.7667,False
es_hi,Spanish+Hindi,E_joint,Spanish,0.7203,True
es_hi,Spanish+Hindi,E_joint,Hindi,0.6761,True
es_hi,Spanish+Hindi,E_joint,Telugu,0.7409,False
es_hi,Spanish+Hindi,F_sequential,English,0.7699,False
es_hi,Spanish+Hindi,F_sequential,Spanish,0.7244,True
es_hi,Spanish+Hindi,F_sequential,Hindi,0.7048,True
es_hi,Spanish+Hindi,F_sequential,Telugu,0.7376,False
es_hi,Spanish+Hindi,G_bio,English,0.4582,False
es_hi,Spanish+Hindi,G_bio,Spanish,0.463,True
es_hi,Spanish+Hindi,G_bio,Hindi,0.479,True
es_hi,Spanish+Hindi,G_bio,Telugu,0.4561,False
es_te,Spanish+Telugu,A_pipeline,English,0.7546,False
es_te,Spanish+Telugu,A_pipeline,Spanish,0.7552,True
es_te,Spanish+Telugu,A_pipeline,Hindi,0.6612,False
es_te,Spanish+Telugu,A_pipeline,Telugu,0.7903,True
es_te,Spanish+Telugu,E_joint,English,0.7589,False
es_te,Spanish+Telugu,E_joint,Spanish,0.7439,True
es_te,Spanish+Telugu,E_joint,Hindi,0.6612,False
es_te,Spanish+Telugu,E_joint,Telugu,0.7889,True
es_te,Spanish+Telugu,F_sequential,English,0.7705,False
es_te,Spanish+Telugu,F_sequential,Spanish,0.7441,True
es_te,Spanish+Telugu,F_sequential,Hindi,0.6289,False
es_te,Spanish+Telugu,F_sequential,Telugu,0.7732,True
es_te,Spanish+Telugu,G_bio,English,0.45,False
es_te,Spanish+Telugu,G_bio,Spanish,0.4619,True
es_te,Spanish+Telugu,G_bio,Hindi,0.4414,False
es_te,Spanish+Telugu,G_bio,Telugu,0.4876,True
hi_te,Hindi+Telugu,A_pipeline,English,0.6869,False
hi_te,Hindi+Telugu,A_pipeline,Spanish,0.6082,False
hi_te,Hindi+Telugu,A_pipeline,Hindi,0.6402,True
hi_te,Hindi+Telugu,A_pipeline,Telugu,0.7742,True
hi_te,Hindi+Telugu,E_joint,English,0.6257,False
hi_te,Hindi+Telugu,E_joint,Spanish,0.5464,False
hi_te,Hindi+Telugu,E_joint,Hindi,0.5589,True
hi_te,Hindi+Telugu,E_joint,Telugu,0.7097,True
hi_te,Hindi+Telugu,F_sequential,English,0.6823,False
hi_te,Hindi+Telugu,F_sequential,Spanish,0.6114,False
hi_te,Hindi+Telugu,F_sequential,Hindi,0.6282,True
hi_te,Hindi+Telugu,F_sequential,Telugu,0.8056,True
hi_te,Hindi+Telugu,G_bio,English,0.3125,False
hi_te,Hindi+Telugu,G_bio,Spanish,0.3385,False
hi_te,Hindi+Telugu,G_bio,Hindi,0.4701,True
hi_te,Hindi+Telugu,G_bio,Telugu,0.4833,True
en_es_hi,English+Spanish+Hindi,A_pipeline,English,0.7905,True
en_es_hi,English+Spanish+Hindi,A_pipeline,Spanish,0.7355,True
en_es_hi,English+Spanish+Hindi,A_pipeline,Hindi,0.7732,True
en_es_hi,English+Spanish+Hindi,A_pipeline,Telugu,0.6896,False
en_es_hi,English+Spanish+Hindi,E_joint,English,0.7819,True
en_es_hi,English+Spanish+Hindi,E_joint,Spanish,0.7401,True
en_es_hi,English+Spanish+Hindi,E_joint,Hindi,0.6915,True
en_es_hi,English+Spanish+Hindi,E_joint,Telugu,0.7565,False
en_es_hi,English+Spanish+Hindi,F_sequential,English,0.7984,True
en_es_hi,English+Spanish+Hindi,F_sequential,Spanish,0.7478,True
en_es_hi,English+Spanish+Hindi,F_sequential,Hindi,0.6935,True
en_es_hi,English+Spanish+Hindi,F_sequential,Telugu,0.6836,False
en_es_hi,English+Spanish+Hindi,G_bio,English,0.4751,True
en_es_hi,English+Spanish+Hindi,G_bio,Spanish,0.473,True
en_es_hi,English+Spanish+Hindi,G_bio,Hindi,0.4918,True
en_es_hi,English+Spanish+Hindi,G_bio,Telugu,0.4655,False
en_es_te,English+Spanish+Telugu,A_pipeline,English,0.7761,True
en_es_te,English+Spanish+Telugu,A_pipeline,Spanish,0.7597,True
en_es_te,English+Spanish+Telugu,A_pipeline,Hindi,0.6314,False
en_es_te,English+Spanish+Telugu,A_pipeline,Telugu,0.8225,True
en_es_te,English+Spanish+Telugu,E_joint,English,0.7784,True
en_es_te,English+Spanish+Telugu,E_joint,Spanish,0.7559,True
en_es_te,English+Spanish+Telugu,E_joint,Hindi,0.7094,False
en_es_te,English+Spanish+Telugu,E_joint,Telugu,0.7889,True
en_es_te,English+Spanish+Telugu,F_sequential,English,0.7905,True
en_es_te,English+Spanish+Telugu,F_sequential,Spanish,0.7436,True
en_es_te,English+Spanish+Telugu,F_sequential,Hindi,0.7257,False
en_es_te,English+Spanish+Telugu,F_sequential,Telugu,0.8046,True
en_es_te,English+Spanish+Telugu,G_bio,English,0.474,True
en_es_te,English+Spanish+Telugu,G_bio,Spanish,0.4686,True
en_es_te,English+Spanish+Telugu,G_bio,Hindi,0.4414,False
en_es_te,English+Spanish+Telugu,G_bio,Telugu,0.4918,True
en_hi_te,English+Hindi+Telugu,A_pipeline,English,0.7856,True
en_hi_te,English+Hindi+Telugu,A_pipeline,Spanish,0.7617,False
en_hi_te,English+Hindi+Telugu,A_pipeline,Hindi,0.6569,True
en_hi_te,English+Hindi+Telugu,A_pipeline,Telugu,0.758,True
en_hi_te,English+Hindi+Telugu,E_joint,English,0.8099,True
en_hi_te,English+Hindi+Telugu,E_joint,Spanish,0.6683,False
en_hi_te,English+Hindi+Telugu,E_joint,Hindi,0.7417,True
en_hi_te,English+Hindi+Telugu,E_joint,Telugu,0.7732,True
en_hi_te,English+Hindi+Telugu,F_sequential,English,0.8259,True
en_hi_te,English+Hindi+Telugu,F_sequential,Spanish,0.7125,False
en_hi_te,English+Hindi+Telugu,F_sequential,Hindi,0.6744,True
en_hi_te,English+Hindi+Telugu,F_sequential,Telugu,0.774,True
en_hi_te,English+Hindi+Telugu,G_bio,English,0.4685,True
en_hi_te,English+Hindi+Telugu,G_bio,Spanish,0.4573,False
en_hi_te,English+Hindi+Telugu,G_bio,Hindi,0.4876,True
